gpas,epas,cm,gmax_h,fastRate_h
2.5023103243778E-05,-70,0.784805752922448,5.02255384964395E-05,0.038884505383794
1.10736920649095E-05,-77.871514779743,0.935655818376962,8.02866970501567E-05,0.418854055646719
1.04749202238022E-05,-77.7454422017455,0.902655898066268,8.22452493639742E-05,0.430980357142717
1.75032661614522E-05,-73.1130084682393,0.809451943244208,6.6255277433042E-05,0.24043238558606
1.64898017290475E-05,-73.6694175815375,0.822119828642691,7.0611408297356E-05,0.252692192087422
1.54348910302948E-05,-73.9517297959309,0.839469912971403,6.98995893144021E-05,0.322442321562729
1.73147006490638E-05,-72.781034823594,0.807180356538477,6.62712922639011E-05,0.280575300573574
1.54381123534035E-05,-73.9745730438387,0.867985326788121,7.15507620461566E-05,0.3147462587747
1.60863141489128E-05,-73.5292371290973,0.823577049817106,6.93003103887555E-05,0.299266712224991
2.06512145449636E-05,-71.3769142214226,0.734843693632598,5.6680761696694E-05,0.157515621889901
2.17352301834777E-05,-70.7908967066717,0.721196636089017,5.25121574293975E-05,0.137980333218233
1.99359008050328E-05,-71.9023942588148,0.820732475472969,6.1281860559902E-05,0.287146022788541
1.91958225862781E-05,-72.1093145658103,0.751518742800627,6.17989607410896E-05,0.203385220429247
2.1315430482894E-05,-71.0083701145586,0.724207580644953,5.3810656018483E-05,0.137516325114188
2.41872813178806E-05,-70,0.90250297121041,4.73967771650119E-05,0.01
1.91340819730113E-05,-71.857910531901,0.771217827892013,5.97478380980959E-05,0.223321214124268
2.09403770561008E-05,-71.2582903582157,0.721686838791646,5.52046237732083E-05,0.163279980528263
2.08556312476239E-05,-71.2179224384221,0.734468130966656,5.52476816254694E-05,0.155395776472127
1.17973408635599E-05,-76.9048740584592,0.84070143770793,7.91971521905298E-05,0.429798792864443
1.59646357153746E-05,-73.3311032678694,0.838607740790257,6.78722425595444E-05,0.323970043977656
