gpas,epas,cm,gmax_h,fastRate_h
1.29553724059528E-05,-72.0312743514622,0.585464205163474,4.13623860035306E-05,0.254491841256465
1.39951873857888E-05,-71.7789305739513,0.519231397481118,4.1499637417618E-05,0.193925562266911
7.50857658930307E-06,-77.8193386604027,0.557881812607772,5.60111624918437E-05,0.478008484370751
1.54261023606127E-05,-70.7810226844087,0.496526871512592,3.58583027742386E-05,0.156035837143075
8.82319565649088E-06,-76.4648307898377,0.627580311822232,5.43637972465301E-05,0.365228565674881
1.29658860629139E-05,-72.3028761110732,0.53148529125337,4.24893070366872E-05,0.251123696624314
1.25763972032875E-05,-72.1150017425592,0.538635831377566,4.38391104791347E-05,0.280925155928448
1.11537645382423E-05,-73.6215365542361,0.451718115991437,4.95754609435794E-05,0.307025564880387
1.37465486528504E-05,-71.8695562124569,0.521571691190364,4.13467493221757E-05,0.22687584383991
1.13085802108157E-05,-72.9831862192234,0.60209450861454,4.66114315352356E-05,0.319926905414138
1.23628680231386E-05,-72.6586144757013,0.541637476961961,4.44148097201205E-05,0.262890322913946
1.3160773143958E-05,-72.2351500526623,0.532677841362356,4.42586923184634E-05,0.206958263159522
1.30965106952914E-05,-72.0033533890962,0.541946770391927,4.17497968154125E-05,0.271321664008802
1.24281816187881E-05,-72.8468938359182,0.564268550588837,4.50874170920164E-05,0.217452489378021
1.09535266065184E-05,-73.4858296745321,0.585110124577321,4.67357103984108E-05,0.327646068223212
1.55918090141007E-05,-70.3914418946535,0.518028541085906,3.43379124759071E-05,0.148089033746643
1.4982120421534E-05,-71.0138048798949,0.500682353805261,3.76656905097833E-05,0.164851289112031
8.17137327832672E-06,-76.879856429773,0.576024780792223,5.50061249566295E-05,0.452417604132271
9.67779104147553E-06,-75.018468764804,0.607989944500589,5.18409361383738E-05,0.373549385087614
1.3372784812637E-05,-72.1888326563976,0.529098104815728,4.30063483561366E-05,0.219715416262563
