gpas,epas,cm,gmax_h,fastRate_h
1.09524432848579E-05,-73.7749541257033,0.595239382138614,5.10124066591735E-05,0.342388036186309
4.10210804505733E-06,-92.2374690128949,0.680382711561237,7.0808951660908E-05,0.550377488905897
2.2722424162603E-06,-110.09716632636,0.611558615312641,7.20004412592928E-05,0.65659830472773
1.39303535071791E-05,-71.7799531709464,0.534178144239459,4.56189538971749E-05,0.233298704132237
4.59476232927586E-06,-89.1461077372124,0.705669880090936,6.89226405658178E-05,0.557900386946918
1.37177926842114E-05,-72.1371760786868,0.557985983386168,4.51513340365257E-05,0.245651460479144
9.73148640519706E-06,-76.3424817869601,0.6684899454854,5.89858688435817E-05,0.402619188211365
1.54124255324299E-05,-71.5647971804353,0.545322798233903,4.24386500374558E-05,0.1445530669295
1.43090968282076E-05,-71.8923391835061,0.566467963206314,4.41400785256794E-05,0.236797283957065
1.31655631668319E-05,-72.643067188896,0.580167780359769,4.60457636215107E-05,0.258245740781405
1.36932342950319E-05,-72.258914441323,0.571339630956563,4.60581981451024E-05,0.25640603774522
1.42304822159185E-05,-71.5158011207459,0.555445568800493,4.26344810430564E-05,0.246171094752734
1.19264370729519E-05,-73.4494104329855,0.581785755148241,5.05785651169868E-05,0.297614427000225
1.30643933688009E-05,-72.8516628061743,0.611992151479693,4.8222860051446E-05,0.297828724347959
1.41820776050001E-05,-72.2709402223469,0.546693671151231,4.60353732782693E-05,0.199821097821572
1.54516651570091E-05,-71.3606766931928,0.547881455267467,4.15720112297623E-05,0.160046627751222
1.08833788120454E-05,-74.2212987479812,0.622311799579344,5.31642376419142E-05,0.353452995391323
1.11008964549444E-05,-74.0404508348149,0.632082545699621,5.18086875004454E-05,0.338131125879314
4.67305395455784E-06,-88.770846880144,0.656697980264478,6.78329011447802E-05,0.538125227489602
1.53517511693223E-05,-71.3582782352674,0.544384364851178,4.09559103792236E-05,0.174142411081962
