gpas,epas,cm,gmax_h,fastRate_h
2.27890721380443E-05,-71.2571496129408,0.641071686200935,3.71567877109655E-05,0.112877318458046
2.12853449690726E-05,-71.549787157479,0.617636846205881,4.31388573865762E-05,0.147852584232654
2.00617740037085E-05,-71.7929749505143,0.693831809858058,4.40488183920419E-05,0.259983266448364
2.24239302699005E-05,-71.4235960526823,0.598479109805039,4.16453896945749E-05,0.110376425977368
2.00254594540929E-05,-71.0878621544064,0.579864969352397,3.69170307877062E-05,0.272891249475219
2.43828990371194E-05,-71.0853890982966,0.5499907873891,3.74927577802228E-05,0.027089235777309
2.28361249606604E-05,-71.2013709638637,0.506081137334196,3.88931795818162E-05,0.136252855554146
2.22777761872044E-05,-71.5728483026081,0.551095696790035,4.1217940391212E-05,0.257856105332095
2.31224456481566E-05,-71.4334040719684,0.573672881299988,4.08069245662431E-05,0.081133985122011
2.17188831425501E-05,-71.7763805421422,0.577603019010842,4.21361865790286E-05,0.118633222359553
2.325039379032E-05,-71.3366941252725,0.56843685466931,3.99734496495502E-05,0.063422848544792
2.37542638250653E-05,-71.0966806243222,0.55587505272833,3.79157235356522E-05,0.059170096656656
2.44160724571146E-05,-71.0094908199041,0.553070092502729,3.71593499413356E-05,0.025526460344583
2.47610284352765E-05,-70.9338311305911,0.538882081601035,3.61703366629401E-05,0.024349018247719
2.40857104407427E-05,-70.8642113394663,0.540866104996169,3.61823540922218E-05,0.048913609231405
2.40317408378723E-05,-71.2688829527087,0.562457448225628,3.87512537846997E-05,0.042388320401208
1.98252757130997E-05,-72.1742764204477,0.62985727484751,4.69395276777692E-05,0.18557508776745
2.23646155916016E-05,-71.4460147590275,0.559103765254904,3.99964168089913E-05,0.146595804811494
9.97601179323704E-06,-78.2351385869427,0.769246341660892,6.97698284366017E-05,0.549397776594091
2.20947604897666E-05,-72.4721925766717,0.702322494605145,4.94962977814792E-05,0.055737534284336
